wn	g_wn_up	g_wn_dn
-50.21639507222435	(-0.000435292504483338+0.019894121704481075j)	(-0.0008296261562529642+0.01986055420325997j)
-50.11822030179967	(-0.0004369960687211982+0.01993302154078774j)	(-0.0008328551176331221+0.019899275088916334j)
-50.02004553137499	(-0.0004387096463570055+0.019972073662979598j)	(-0.0008361031099853644+0.019938147128464877j)
-49.921870760950306	(-0.00044043331596419725+0.020011278966269516j)	(-0.0008393702961435565+0.01997717117925045j)
-49.82369599052563	(-0.0004421671568889113+0.020050638352893675j)	(-0.0008426568372173873+0.020016348107728673j)
-49.725521220100944	(-0.0004439112492590009+0.0200901527321806j)	(-0.0008459628929553243+0.020055678789495025j)
-49.62734644967626	(-0.00044566567399311835+0.020129823020620913j)	(-0.0008492886222724204+0.02009516410919457j)
-49.52917167925158	(-0.0004474305128099245+0.020169650141938056j)	(-0.0008526341837787187+0.020134804960394038j)
-49.4309969088269	(-0.000449205848237447+0.020209635027159736j)	(-0.0008559997362368002+0.020174602245443297j)
-49.33282213840222	(-0.000450991763622597+0.02024977861469033j)	(-0.0008593854389310288+0.020214556875335094j)
-49.23464736797754	(-0.0004527883431408451+0.020290081850384042j)	(-0.0008627914519516282+0.02025466976957598j)
-49.13647259755286	(-0.0004545956718060547+0.020330545687618995j)	(-0.000866217936405143+0.02029494185607763j)
-49.038297827128176	(-0.00045641383548047226+0.0203711710873722j)	(-0.0008696650545708879+0.020335374071073033j)
-48.9401230567035	(-0.00045824292088486737+0.020411959018295327j)	(-0.0008731329700170038+0.020375967359055218j)
-48.841948286278814	(-0.0004600830156088278+0.020452910456791526j)	(-0.0008766218476842025+0.02041672267274043j)
-48.74377351585414	(-0.000461934208121202+0.020494026387092995j)	(-0.0008801318539492846+0.02045764097305233j)
-48.64559874542945	(-0.0004637965877806982+0.02053530780133963j)	(-0.0008836631566755735+0.020498723229126332j)
-48.54742397500477	(-0.0004656702448466287+0.020576755699658486j)	(-0.0008872159252546944+0.020539970418329376j)
-48.44924920458009	(-0.00046755527048981385+0.020618371090244295j)	(-0.0008907903306423437+0.020581383526291082j)
-48.35107443415541	(-0.00046945175680363795+0.020660154989440904j)	(-0.0008943865453912369+0.02062296354694622j)
-48.25289966373073	(-0.00047135979681526164+0.020702108421823684j)	(-0.000898004743683047+0.02066471148258649j)
-48.154724893306046	(-0.0004732794844969975+0.020744232420283018j)	(-0.000901645101358608+0.020706628343918558j)
-48.05655012288137	(-0.00047521091477784267+0.020786528026108662j)	(-0.0009053077959496451+0.020748715150126534j)
-47.958375352456684	(-0.0004771541835551803+0.02082899628907533j)	(-0.0009089930067097881+0.020790972928938112j)
-47.86020058203201	(-0.00047910938770664416+0.020871638267529104j)	(-0.0009127009146463986+0.020833402716696467j)
-47.76202581160732	(-0.00048107662510215736+0.02091445502847511j)	(-0.0009164317025516839+0.020876005558430832j)
