wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0005936348413647962+0.01988591230676448j)	(0.00019787226182677966+0.019902284396444266j)
-50.11822030179967	(0.0005959583006429107+0.019924763822944995j)	(0.000198638013990521+0.01994122984155149j)
-50.02004553137499	(0.0005982954176371388+0.01996376724536049j)	(0.0001994113625528106+0.019980327501301697j)
-49.921870760950306	(0.0006006462999806831+0.02000292346528671j)	(0.00020019093591264303+0.020019578780797943j)
-49.82369599052563	(0.0006030110561466484+0.020042233381116107j)	(0.0002009760623949008+0.020058984703518547j)
-49.725521220100944	(0.000605389795567466+0.02008169789833225j)	(0.0002017664133113341+0.020098546185970227j)
-49.62734644967626	(0.0006077826287016264+0.020121317929548115j)	(0.0002025618262502828+0.02013826412417238j)
-49.52917167925158	(0.0006101896670718439+0.020161094394566544j)	(0.0002033622233073227+0.020178139418460046j)
-49.4309969088269	(0.0006126110232905142+0.020201028220448204j)	(0.00020416757125099665+0.020218172979935226j)
-49.33282213840222	(0.0006150468110788063+0.020241120341582847j)	(0.0002049778627053855+0.02025836573047027j)
-49.23464736797754	(0.0006174971452832741+0.020281371699761568j)	(0.0002057931057590702+0.020298718602903665j)
-49.13647259755286	(0.0006199621418912283+0.02032178324425008j)	(0.00020661331808231352+0.020339232540811554j)
-49.038297827128176	(0.0006224419180455329+0.0203623559318631j)	(0.0002074385234989582+0.020379908497915534j)
-48.9401230567035	(0.00062493659205896+0.020403090727039642j)	(0.0002082687505078773+0.020420747437304456j)
-48.841948286278814	(0.0006274462834289225+0.020443988601919233j)	(0.0002091040302982606+0.020461750330932574j)
-48.74377351585414	(0.000629971112851779+0.020485050536418352j)	(0.00020994439653224315+0.020502918160821126j)
-48.64559874542945	(0.0006325112022376439+0.020526277518308933j)	(0.000210789884437052+0.020544251917249654j)
-48.54742397500477	(0.0006350666747250662+0.020567670543296855j)	(0.0002116405307332571+0.020585752599428898j)
-48.44924920458009	(0.0006376376546960823+0.020609230615101684j)	(0.00021249637312831991+0.020627421215606158j)
-48.35107443415541	(0.0006402242677912067+0.020650958745537518j)	(0.0002133574506372993+0.020669258782617203j)
-48.25289966373073	(0.0006428266409250183+0.02069285595459456j)	(0.0002142238027579058+0.020711266326041707j)
-48.154724893306046	(0.0006454449023016082+0.02073492327052181j)	(0.0002150954697054509+0.020753444880200127j)
-48.05655012288137	(0.0006480791814301805+0.020777161729910648j)	(0.00021597249281199684+0.020795795488380075j)
-47.958375352456684	(0.0006507296091412434+0.02081957237777961j)	(0.00021685491391304682+0.0208383192026235j)
-47.86020058203201	(0.0006533963176028361+0.02086215626766009j)	(0.00021774277527698708+0.02088101708362407j)
-47.76202581160732	(0.00065607944033678+0.020904914461682862j)	(0.0002186361200793077+0.02092389020150803j)
