wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.00039599470223995026+0.019895750844478456j)	(-1.2681711738228645e-07+0.019902338138395426j)
-50.11822030179967	(0.0003975455409681312+0.019934660164327676j)	(-1.271549101425746e-07+0.01994128900396722j)
-50.02004553137499	(0.000399105503816351+0.019973721843674755j)	(-1.2749748060539008e-07+0.01998039253361905j)
-49.921870760950306	(0.00040067466246665456+0.02001293677843723j)	(-1.278449731574657e-07+0.020019649626280597j)
-49.82369599052563	(0.00040225308930608904+0.020052305871564872j)	(-1.2819750898519255e-07+0.020059061187934j)
-49.725521220100944	(0.0004038408574350402+0.020091830033108805j)	(-1.2855518720708594e-07+0.020098628131692674j)
-49.62734644967626	(0.000405438040675679+0.020131510180291384j)	(-1.289180880601141e-07+0.02013835137787792j)
-49.52917167925158	(0.0004070447135805296+0.020171347237576884j)	(-1.2928627674027506e-07+0.02017823185409407j)
-49.4309969088269	(0.00040866095144115436+0.020211342136743096j)	(-1.2965980726259279e-07+0.020218270495302632j)
-49.33282213840222	(0.00041028683029695895+0.02025149581695368j)	(-1.3003872576669124e-07+0.02025846824389571j)
-49.23464736797754	(0.0004119224269441214+0.020291809224831488j)	(-1.304230728594798e-07+0.0202988260497697j)
-49.13647259755286	(0.00041356781894464343+0.020332283314532636j)	(-1.3081288528657785e-07+0.02033934487039961j)
-49.038297827128176	(0.0004152230846355301+0.02037291904782159j)	(-1.312081972525887e-07+0.020380025670914344j)
-48.9401230567035	(0.000416888303138096+0.02041371739414704j)	(-1.3160904145389554e-07+0.020420869424172913j)
-48.841948286278814	(0.00041856355436740457+0.020454679330718754j)	(-1.3201545025152466e-07+0.020461877110841686j)
-48.74377351585414	(0.0004202489190418367+0.02049580584258531j)	(-1.324274570155741e-07+0.020503049719472127j)
-48.64559874542945	(0.0004219444786927979+0.02053709792271282j)	(-1.3284509696029007e-07+0.020544388246578858j)
-48.54742397500477	(0.00042365031567455965+0.02057855657206454j)	(-1.3326840722720443e-07+0.020585893696718777j)
-48.44924920458009	(0.0004253665131742396+0.020620182799681468j)	(-1.336974266088405e-07+0.020627567082571702j)
-48.35107443415541	(0.00042709315522192594+0.020661977622763943j)	(-1.3413219545422636e-07+0.02066940942502232j)
-48.25289966373073	(0.0004288303267009422+0.020703942066754192j)	(-1.345727558211524e-07+0.020711421753243114j)
-48.154724893306046	(0.00043057811335826075+0.020746077165419922j)	(-1.3501915142236942e-07+0.02075360510477809j)
-48.05655012288137	(0.0004323366018150635+0.020788383960938864j)	(-1.3547142730227355e-07+0.02079596052562775j)
-47.958375352456684	(0.0004341058795774533+0.020830863503984443j)	(-1.3592962965483525e-07+0.020838489070335503j)
-47.86020058203201	(0.0004358860350473198+0.02087351685381241j)	(-1.3639380595087175e-07+0.020881191802074962j)
-47.76202581160732	(0.0004376771575333606+0.020916345078348608j)	(-1.3686400506594622e-07+0.02092406979273826j)
